,actor,gender,emotion,path
0,1,male,neutral,data/Actor_01/03-01-01-01-01-01-01.wav
1,1,male,neutral,data/Actor_01/03-01-01-01-01-02-01.wav
2,1,male,neutral,data/Actor_01/03-01-01-01-02-01-01.wav
3,1,male,neutral,data/Actor_01/03-01-01-01-02-02-01.wav
4,1,male,calm,data/Actor_01/03-01-02-01-01-01-01.wav
5,1,male,calm,data/Actor_01/03-01-02-01-01-02-01.wav
6,1,male,calm,data/Actor_01/03-01-02-01-02-01-01.wav
7,1,male,calm,data/Actor_01/03-01-02-01-02-02-01.wav
8,1,male,calm,data/Actor_01/03-01-02-02-01-01-01.wav
9,1,male,calm,data/Actor_01/03-01-02-02-01-02-01.wav
10,1,male,calm,data/Actor_01/03-01-02-02-02-01-01.wav
11,1,male,calm,data/Actor_01/03-01-02-02-02-02-01.wav
12,1,male,happy,data/Actor_01/03-01-03-01-01-01-01.wav
13,1,male,happy,data/Actor_01/03-01-03-01-01-02-01.wav
14,1,male,happy,data/Actor_01/03-01-03-01-02-01-01.wav
15,1,male,happy,data/Actor_01/03-01-03-01-02-02-01.wav
16,1,male,happy,data/Actor_01/03-01-03-02-01-01-01.wav
17,1,male,happy,data/Actor_01/03-01-03-02-01-02-01.wav
18,1,male,happy,data/Actor_01/03-01-03-02-02-01-01.wav
19,1,male,happy,data/Actor_01/03-01-03-02-02-02-01.wav
20,1,male,sad,data/Actor_01/03-01-04-01-01-01-01.wav
21,1,male,sad,data/Actor_01/03-01-04-01-01-02-01.wav
22,1,male,sad,data/Actor_01/03-01-04-01-02-01-01.wav
23,1,male,sad,data/Actor_01/03-01-04-01-02-02-01.wav
24,1,male,sad,data/Actor_01/03-01-04-02-01-01-01.wav
25,1,male,sad,data/Actor_01/03-01-04-02-01-02-01.wav
26,1,male,sad,data/Actor_01/03-01-04-02-02-01-01.wav
27,1,male,sad,data/Actor_01/03-01-04-02-02-02-01.wav
28,1,male,angry,data/Actor_01/03-01-05-01-01-01-01.wav
29,1,male,angry,data/Actor_01/03-01-05-01-01-02-01.wav
30,1,male,angry,data/Actor_01/03-01-05-01-02-01-01.wav
31,1,male,angry,data/Actor_01/03-01-05-01-02-02-01.wav
32,1,male,angry,data/Actor_01/03-01-05-02-01-01-01.wav
33,1,male,angry,data/Actor_01/03-01-05-02-01-02-01.wav
34,1,male,angry,data/Actor_01/03-01-05-02-02-01-01.wav
35,1,male,angry,data/Actor_01/03-01-05-02-02-02-01.wav
36,1,male,fearful,data/Actor_01/03-01-06-01-01-01-01.wav
37,1,male,fearful,data/Actor_01/03-01-06-01-01-02-01.wav
38,1,male,fearful,data/Actor_01/03-01-06-01-02-01-01.wav
